Time,Open,High,Low,Last,Change,%Chg,Volume
10/14/2021,57039.33,58460.84,57021,57559.59,520.26,+0.91%,973716138
10/13/2021,55824.06,57177.84,54796.58,57039.33,1179.86,+2.11%,92917
10/12/2021,57439.23,57440.93,55186.42,55859.47,-1579.76,-2.75%,1074956612
10/11/2021,54199.44,57513.77,53917.93,57439.23,3239.79,+5.98%,1027740287
10/08/2021,53968.62,55633.31,53778.12,54199.44,219.93,+0.41%,906215854
10/07/2021,54786.33,55242.92,53577.6,53979.51,-806.88,-1.47%,871644742
10/06/2021,50620.73,55014.59,50525.29,54786.39,4165.66,+8.23%,1535669321
10/05/2021,48769.18,51290.92,48003.75,50620.73,1856.28,+3.81%,871601635
10/04/2021,47820.16,49344.65,47362.73,48764.45,944.29,+1.97%,629458900
10/01/2021,43540.69,47854.4,43445.89,47820.16,4279.47,+9.83%,0
09/30/2021,41275.87,43815.62,41174.14,43540.69,2264.82,+5.49%,982117888
09/29/2021,41788.94,42405.88,40949.81,41275.87,-513.07,-1.23%,599855424
09/28/2021,42774.04,43245.63,41213.49,41788.94,-972.95,-2.28%,774063168
09/27/2021,42840.67,44152.4,40979.55,42761.89,-78.78,-0.18%,725675584
09/24/2021,44515.73,44966.21,41046.35,42840.67,-1653.06,-3.72%,0
09/23/2021,43540.87,44813.03,43166.94,44493.73,952.86,+2.19%,717624192
09/22/2021,40860.76,43932.21,39962.36,43540.87,2668.67,+6.53%,0
09/21/2021,43370.99,43807.55,40822.97,40872.2,-2398.11,-5.54%,0
09/20/2021,46921.92,48673.73,42882.26,43270.31,-3653.6,-7.79%,0
09/17/2021,47436.62,48060.17,46894.54,46923.91,-512.71,-1.08%,558115008
09/16/2021,47857.76,48310.65,47208.44,47436.62,-421.14,-0.88%,764071616
09/15/2021,46719.05,48278.94,46554.12,47857.76,1137.54,+2.43%,683325056
09/14/2021,44717.66,46824.73,44316.48,46720.22,1992.54,+4.45%,651336064
09/13/2021,45497.91,46274.06,43966.51,44727.68,-770.23,-1.69%,0
09/10/2021,46491.81,46996.94,45181.37,45497.91,-973.15,-2.09%,766061696
09/09/2021,46015.9,47094.26,45758.15,46471.06,449.46,+0.98%,887010496
09/08/2021,46821.08,47145.97,44537.11,46021.6,-799.48,-1.71%,0
09/07/2021,51882.31,52674.69,46565.94,46821.08,-5060.11,-9.75%,0
09/06/2021,50504.8,51911,49675.05,51881.19,1376.39,+2.73%,785835968
09/03/2021,49469.66,50846.93,48661.08,50504.8,1035.14,+2.09%,0
09/02/2021,48310.81,50066.14,48292.76,49469.66,1158.85,+2.40%,867170816
09/01/2021,47166.19,48738.74,46653.52,48310.81,1145.74,+2.43%,703304128
08/31/2021,48642.6,48642.6,46839.68,47165.07,-1477.53,-3.04%,846741120
08/30/2021,48687.87,49409.84,47638.97,48642.6,-45.27,-0.09%,628109824
08/27/2021,47030.28,48915.12,46590.32,48687.87,1657.59,+3.52%,735622784
08/26/2021,48727,49220.88,46608.37,47030.28,-1696.03,-3.48%,980990784
08/25/2021,48212.23,48932.71,47229.19,48726.31,499.31,+1.04%,722193024
08/24/2021,49464.87,49819.84,47953.37,48227,-1237.88,-2.50%,764588736
08/23/2021,48558.42,50307.71,48237.37,49464.88,906.46,+1.87%,59427132
08/20/2021,46280.36,48693.6,45555,48558.42,2172.44,+4.68%,899026880
08/19/2021,44760.66,46577.3,44148.56,46385.98,1534.03,+3.42%,859065280
08/18/2021,44896.18,45785.63,44483.89,44851.95,-47.97,-0.11%,0
08/17/2021,45922.24,46901.79,44855.39,44899.92,-1011.18,-2.20%,939891072
08/16/2021,47408.91,47834.2,45752.36,45911.1,-1497.81,-3.16%,920202304
